Id,SalePrice
1461,163000
1462,163789
1463,187500
1464,194887
1465,195571
1466,176073
1467,166627
1468,176076
1469,194166
1470,163000
1471,173000
1472,163000
1473,163000
1474,163000
1475,163000
1476,279990
1477,232765
1478,215000
1479,247397
1480,275000
1481,258089
1482,195000
1483,175000
1484,170000
1485,178000
1486,209957
1487,240000
1488,221894
1489,228557
1490,198859
1491,185845
1492,163000
1493,166722
1494,259378
1495,253900
1496,228600
1497,177133
1498,172959
1499,166689
1500,163000
1501,163000
1502,163000
1503,280411
1504,206607
1505,200588
1506,180000
1507,235000
1508,192754
1509,163000
1510,163000
1511,163000
1512,163360
1513,163000
1514,163000
1515,173999
1516,163000
1517,163000
1518,163000
1519,231849
1520,163000
1521,163000
1522,163000
1523,163000
1524,163000
1525,163000
1526,163000
1527,163000
1528,163000
1529,163000
1530,163000
1531,163000
1532,163000
1533,163000
1534,163000
1535,163000
1536,163000
1537,163000
1538,163000
1539,163000
1540,163000
1541,163000
1542,163000
1543,163000
1544,163000
1545,163000
1546,163000
1547,163000
1548,163000
1549,163000
1550,163000
1551,163000
1552,163000
1553,163000
1554,163000
1555,163000
1556,163000
1557,163000
1558,163000
1559,163000
1560,163000
1561,163000
1562,163000
1563,163000
1564,163000
1565,163000
1566,214992
1567,163000
1568,192144
1569,163000
1570,165318
1571,163000
1572,163000
1573,249395
1574,163000
1575,210227
1576,195644
1577,199965
1578,163000
1579,169989
1580,194026
1581,174985
1582,163000
1583,221544
1584,190000
1585,163000
1586,163000
1587,163000
1588,163000
1589,163000
1590,164885
1591,163000
1592,163000
1593,163000
1594,163000
1595,163000
1596,215000
1597,163000
1598,204999
1599,180000
1600,164993
1601,163000
1602,163000
1603,163000
1604,192861
1605,215000
1606,176982
1607,163000
1608,195469
1609,205000
1610,168057
1611,163000
1612,180707
1613,178686
1614,163000
1615,163000
1616,163000
1617,163000
1618,163000
1619,163000
1620,164787
1621,170860
1622,163000
1623,223123
1624,173486
1625,163000
1626,163000
1627,174701
1628,257174
1629,163000
1630,235613
1631,184000
1632,199588
1633,170991
1634,180000
1635,180000
1636,170000
1637,163000
1638,194252
1639,194038
1640,226445
1641,173000
1642,245413
1643,209698
1644,200000
1645,177000
1646,179900
1647,163000
1648,163000
1649,163000
1650,163000
1651,163000
1652,163000
1653,163000
1654,163000
1655,163000
1656,163000
1657,169986
1658,165000
1659,163000
1660,173000
1661,317331
1662,248373
1663,274994
1664,300955
1665,248874
1666,213003
1667,279975
1668,235796
1669,227966
1670,248525
1671,193594
1672,249586
1673,245568
1674,214396
1675,175102
1676,179566
1677,195731
1678,370617
1679,245757
1680,247939
1681,226012
1682,210072
1683,184057
1684,168259
1685,195672
1686,168006
1687,180500
1688,186348
1689,178000
1690,181000
1691,174000
1692,250000
1693,163000
1694,170000
1695,163000
1696,211612
1697,167500
1698,317992
1699,260000
1700,227982
1701,274960
1702,199750
1703,194314
1704,215389
1705,196181
1706,274494
1707,222067
1708,180105
1709,235000
1710,207500
1711,206049
1712,239000
1713,233217
1714,190000
1715,180265
1716,175966
1717,172932
1718,163000
1719,195412
1720,176490
1721,163987
1722,163000
1723,163000
1724,184000
1725,200397
1726,181126
1727,163000
1728,167536
1729,163000
1730,163000
1731,163000
1732,163000
1733,163000
1734,163000
1735,163000
1736,163000
1737,203992
1738,240552
1739,239895
1740,207124
1741,185000
1742,163000
1743,163000
1744,283153
1745,185000
1746,167996
1747,207110
1748,188000
1749,163000
1750,163000
1751,212970
1752,163000
1753,163000
1754,184835
1755,163000
1756,163000
1757,163000
1758,163000
1759,163000
1760,163000
1761,163000
1762,176000
1763,178000
1764,163000
1765,187015
1766,192069
1767,229770
1768,163000
1769,165879
1770,194405
1771,163000
1772,163000
1773,163000
1774,163000
1775,163000
1776,163000
1777,163000
1778,175000
1779,163000
1780,163000
1781,163000
1782,163000
1783,175366
1784,163000
1785,163000
1786,163000
1787,173000
1788,163000
1789,163000
1790,163000
1791,163000
1792,163000
1793,163000
1794,165386
1795,163000
1796,163000
1797,163000
1798,163000
1799,163000
1800,163000
1801,163000
1802,163000
1803,168500
1804,163000
1805,163000
1806,163000
1807,163000
1808,163000
1809,163000
1810,163000
1811,163000
1812,163000
1813,163000
1814,163000
1815,163000
1816,163000
1817,163000
1818,163000
1819,163000
1820,163000
1821,163000
1822,163000
1823,163000
1824,163000
1825,163000
1826,163000
1827,163000
1828,163000
1829,163000
1830,163000
1831,163000
1832,163000
1833,163000
1834,163000
1835,163000
1836,163000
1837,163000
1838,163000
1839,163000
1840,163000
1841,163000
1842,163000
1843,163000
1844,163000
1845,163000
1846,163000
1847,165549
1848,163000
1849,163000
1850,163000
1851,163000
1852,163000
1853,163000
1854,164997
1855,163000
1856,197000
1857,163000
1858,163000
1859,163000
1860,163000
1861,163000
1862,233589
1863,220258
1864,232582
1865,277098
1866,266345
1867,184964
1868,224030
1869,205000
